id,name,slug,generation,cost,category,fling_power,effect,short_effect,sprite,sourceUrl
547,lift-key,lift_key,,0,plot-advancement,None,Operates the elevator in the Celadon Rocket Hideout.,Operates the elevator in Team Rocket’s Celadon Hideout.,images/items/lift_key.png,https://pokeapi.co/api/v2/item/547/
548,silph-scope,silph_scope,,0,plot-advancement,None,Identifies ghosts in pokemon tower.,Used to identify the true forms of ghosts in Pokémon Tower.,images/items/silph_scope.png,https://pokeapi.co/api/v2/item/548/
549,fame-checker,fame_checker,,0,gameplay,None,Records information on various famous people.,Records information about NPCs.,images/items/fame_checker.png,https://pokeapi.co/api/v2/item/549/
550,tm-case,tm_case,,0,gameplay,None,Stores TMs and HMs.,Holds TMs.,images/items/tm_case.png,https://pokeapi.co/api/v2/item/550/
551,berry-pouch,berry_pouch,,0,gameplay,None,Stores Berries.,Holds berries.,images/items/berry_pouch.png,https://pokeapi.co/api/v2/item/551/
552,teachy-tv,teachy_tv,,0,gameplay,None,Teaches beginning trainers basic information.,Teachers basic trainer advice.,images/items/teachy_tv.png,https://pokeapi.co/api/v2/item/552/
553,tri-pass,tri_pass,,0,plot-advancement,None,Provides access to the first three Sevii Islands.,Grants access to the first three Sevii Islands.,images/items/tri_pass.png,https://pokeapi.co/api/v2/item/553/
554,rainbow-pass,rainbow_pass,,0,plot-advancement,None,Provides access to the Sevii Islands.,Grants access to all of the Sevii Islands.,images/items/rainbow_pass.png,https://pokeapi.co/api/v2/item/554/
555,tea,tea,,0,plot-advancement,None,Used to bribe the saffron city guards for entry to the city.,Grants access to Saffron City.,images/items/tea.png,https://pokeapi.co/api/v2/item/555/
556,mysticticket,mysticticket,,0,event-items,None,"Provides access to Navel Rock, ho oh, and lugia.",Allows access to Navel Rock and Lugia or Ho-oh.,images/items/mysticticket.png,https://pokeapi.co/api/v2/item/556/
557,auroraticket,auroraticket,,0,event-items,None,Provides access to Birth Island and deoxys.,Allows access to Birth Island and Deoxys.,images/items/auroraticket.png,https://pokeapi.co/api/v2/item/557/
558,powder-jar,powder_jar,,0,gameplay,None,Holds Berry Powder from Berry Crushing.,Stores Berry Powder made using a Berry Crusher.,images/items/powder_jar.png,https://pokeapi.co/api/v2/item/558/
559,ruby,ruby,,0,plot-advancement,None,Deliver to Celio for use in the Network Machine.,Give to Celio with Sapphire to activate Network Machine and get Rainbow Pass.,images/items/ruby.png,https://pokeapi.co/api/v2/item/559/
560,sapphire,sapphire,,0,plot-advancement,None,Deliver to Celio for use in the Network Machine.,Give to Celio with Ruby to activate Network Machine and get Rainbow Pass.,images/items/sapphire.png,https://pokeapi.co/api/v2/item/560/
561,magma-emblem,magma_emblem,,0,plot-advancement,None,Provides access to the magma hideout in the jagged pass.,Provides access to the Team Magma Hideout in the Jagged Pass.,images/items/magma_emblem.png,https://pokeapi.co/api/v2/item/561/
562,old-sea-map,old_sea_map,,0,event-items,None,Provides access to Faraway Island and mew.,Allows access to Faraway Island and Mew. Unreleased outside of Japan.,images/items/old_sea_map.png,https://pokeapi.co/api/v2/item/562/
563,douse-drive,douse_drive,,0,species-specific,70,"Held by genesect
:   Holder’s buster is blue, and its techno blast is water-type.","Grants Genesect a blue, Water-type Techno Blast.",images/items/douse_drive.png,https://pokeapi.co/api/v2/item/563/
564,shock-drive,shock_drive,,0,species-specific,70,"Held by genesect
:   Holder’s buster is yellow, and its techno blast is electric-type.","Grants Genesect a yellow, Electric-type Techno Blast.",images/items/shock_drive.png,https://pokeapi.co/api/v2/item/564/
565,burn-drive,burn_drive,,0,species-specific,70,"Held by genesect
:   Holder’s buster is red, and its techno blast is fire-type.","Grants Genesect a red, Fire-type Techno Blast.",images/items/burn_drive.png,https://pokeapi.co/api/v2/item/565/
566,chill-drive,chill_drive,,0,species-specific,70,"Held by genesect
:   Holder’s buster is white, and its techno blast becomes ice-type.","Grants Genesect a white, Ice-type Techno Blast.",images/items/chill_drive.png,https://pokeapi.co/api/v2/item/566/
567,sweet-heart,sweet_heart,,3000,healing,30,"Used on a friendly Pokémon
:   Restores 20 HP.",Restores 20 HP.,images/items/sweet_heart.png,https://pokeapi.co/api/v2/item/567/
568,greet-mail,greet_mail,,50,all-mail,None,"Used to send short messages to other players via Pokémon trading.  Trainer may compose a message from a finite list of words when giving this item to a Pokémon.  Once taken and read, a message may be erased and this item can be reused, or the message may be stored in the trainer’s PC.

Held
:   Holder cannot be placed in the PC.  Any move attempting to remove this item from the holder will fail.",Lets a Trainer write a message and send it via Pokémon trade.,images/items/greet_mail.png,https://pokeapi.co/api/v2/item/568/
569,favored-mail,favored_mail,,50,all-mail,None,"Used to send short messages to other players via Pokémon trading.  Trainer may compose a message from a finite list of words when giving this item to a Pokémon.  Once taken and read, a message may be erased and this item can be reused, or the message may be stored in the trainer’s PC.

Held
:   Holder cannot be placed in the PC.  Any move attempting to remove this item from the holder will fail.",Lets a Trainer write a message and send it via Pokémon trade.,images/items/favored_mail.png,https://pokeapi.co/api/v2/item/569/
570,rsvp-mail,rsvp_mail,,50,all-mail,None,"Used to send short messages to other players via Pokémon trading.  Trainer may compose a message from a finite list of words when giving this item to a Pokémon.  Once taken and read, a message may be erased and this item can be reused, or the message may be stored in the trainer’s PC.

Held
:   Holder cannot be placed in the PC.  Any move attempting to remove this item from the holder will fail.",Lets a Trainer write a message and send it via Pokémon trade.,images/items/rsvp_mail.png,https://pokeapi.co/api/v2/item/570/
571,thanks-mail,thanks_mail,,50,all-mail,None,"Used to send short messages to other players via Pokémon trading.  Trainer may compose a message from a finite list of words when giving this item to a Pokémon.  Once taken and read, a message may be erased and this item can be reused, or the message may be stored in the trainer’s PC.

Held
:   Holder cannot be placed in the PC.  Any move attempting to remove this item from the holder will fail.",Lets a Trainer write a message and send it via Pokémon trade.,images/items/thanks_mail.png,https://pokeapi.co/api/v2/item/571/
572,inquiry-mail,inquiry_mail,,50,all-mail,None,"Used to send short messages to other players via Pokémon trading.  Trainer may compose a message from a finite list of words when giving this item to a Pokémon.  Once taken and read, a message may be erased and this item can be reused, or the message may be stored in the trainer’s PC.

Held
:   Holder cannot be placed in the PC.  Any move attempting to remove this item from the holder will fail.",Lets a Trainer write a message and send it via Pokémon trade.,images/items/inquiry_mail.png,https://pokeapi.co/api/v2/item/572/
573,like-mail,like_mail,,50,all-mail,None,"Used to send short messages to other players via Pokémon trading.  Trainer may compose a message from a finite list of words when giving this item to a Pokémon.  Once taken and read, a message may be erased and this item can be reused, or the message may be stored in the trainer’s PC.

Held
:   Holder cannot be placed in the PC.  Any move attempting to remove this item from the holder will fail.",Lets a Trainer write a message and send it via Pokémon trade.,images/items/like_mail.png,https://pokeapi.co/api/v2/item/573/
574,reply-mail,reply_mail,,50,all-mail,None,"Used to send short messages to other players via Pokémon trading.  Trainer may compose a message from a finite list of words when giving this item to a Pokémon.  Once taken and read, a message may be erased and this item can be reused, or the message may be stored in the trainer’s PC.

Held
:   Holder cannot be placed in the PC.  Any move attempting to remove this item from the holder will fail.",Lets a Trainer write a message and send it via Pokémon trade.,images/items/reply_mail.png,https://pokeapi.co/api/v2/item/574/
575,bridge-mail-s,bridge_mail_s,,50,all-mail,None,"Used to send short messages to other players via Pokémon trading.  Trainer may compose a message from a finite list of words when giving this item to a Pokémon.  Once taken and read, a message may be erased and this item can be reused, or the message may be stored in the trainer’s PC.

Held
:   Holder cannot be placed in the PC.  Any move attempting to remove this item from the holder will fail.",Lets a Trainer write a message and send it via Pokémon trade.,images/items/bridge_mail_s.png,https://pokeapi.co/api/v2/item/575/
576,bridge-mail-d,bridge_mail_d,,50,all-mail,None,"Used to send short messages to other players via Pokémon trading.  Trainer may compose a message from a finite list of words when giving this item to a Pokémon.  Once taken and read, a message may be erased and this item can be reused, or the message may be stored in the trainer’s PC.

Held
:   Holder cannot be placed in the PC.  Any move attempting to remove this item from the holder will fail.",Lets a Trainer write a message and send it via Pokémon trade.,images/items/bridge_mail_d.png,https://pokeapi.co/api/v2/item/576/
577,bridge-mail-t,bridge_mail_t,,50,all-mail,None,"Used to send short messages to other players via Pokémon trading.  Trainer may compose a message from a finite list of words when giving this item to a Pokémon.  Once taken and read, a message may be erased and this item can be reused, or the message may be stored in the trainer’s PC.

Held
:   Holder cannot be placed in the PC.  Any move attempting to remove this item from the holder will fail.",Lets a Trainer write a message and send it via Pokémon trade.,images/items/bridge_mail_t.png,https://pokeapi.co/api/v2/item/577/
578,bridge-mail-v,bridge_mail_v,,50,all-mail,None,"Used to send short messages to other players via Pokémon trading.  Trainer may compose a message from a finite list of words when giving this item to a Pokémon.  Once taken and read, a message may be erased and this item can be reused, or the message may be stored in the trainer’s PC.

Held
:   Holder cannot be placed in the PC.  Any move attempting to remove this item from the holder will fail.",Lets a Trainer write a message and send it via Pokémon trade.,images/items/bridge_mail_v.png,https://pokeapi.co/api/v2/item/578/
579,bridge-mail-m,bridge_mail_m,,50,all-mail,None,"Used to send short messages to other players via Pokémon trading.  Trainer may compose a message from a finite list of words when giving this item to a Pokémon.  Once taken and read, a message may be erased and this item can be reused, or the message may be stored in the trainer’s PC.

Held
:   Holder cannot be placed in the PC.  Any move attempting to remove this item from the holder will fail.",Lets a Trainer write a message and send it via Pokémon trade.,images/items/bridge_mail_m.png,https://pokeapi.co/api/v2/item/579/
580,prism-scale,prism_scale,,2000,evolution,30,"Held by feebas
:   Holder evolves into milotic when traded.",Traded on a Feebas: Holder evolves into Milotic.,images/items/prism_scale.png,https://pokeapi.co/api/v2/item/580/
581,eviolite,eviolite,,4000,held-items,40,"Held by a Pokémon that is not fully evolved
:   Holder has 1.5× Defense and Special Defense.","Held: Holder has 1.5× Defense and Special Defense, as long as it’s not fully evolved.",images/items/eviolite.png,https://pokeapi.co/api/v2/item/581/
582,float-stone,float_stone,,4000,held-items,30,"Held
:   Holder has 0.5× weight.",Held: Holder has 0.5× weight.,images/items/float_stone.png,https://pokeapi.co/api/v2/item/582/
583,rocky-helmet,rocky_helmet,,4000,held-items,60,"Held
:   When the holder is hit by a contact move, the attacking Pokémon takes 1/6 its max HP in damage.","Held: When the holder is hit by a contact move, the attacking Pokémon takes 1/6 its max HP in damage.",images/items/rocky_helmet.png,https://pokeapi.co/api/v2/item/583/
584,air-balloon,air_balloon,,4000,held-items,10,"Held
:   Holder is immune to ground-type moves, spikes, toxic spikes, and arena trap.

    This effect does not apply during gravity or ingrain.

    When the holder takes damage from a move, this item is consumed.","Held: Grants immunity to Ground-type moves, Spikes, and Toxic Spikes. Consumed when the holder takes damage from a move.",images/items/air_balloon.png,https://pokeapi.co/api/v2/item/584/
585,red-card,red_card,,4000,held-items,10,"Held
:   When the holder takes damage directly from a move and does not faint, it switches out for another random, non-fainted Pokémon in its party.
This effect does not activate if another effect prevents the holder from switching out.","Held: When the holder takes damage from a move, the opponent switches out for another random party Pokémon. Consumed after use.",images/items/red_card.png,https://pokeapi.co/api/v2/item/585/
586,ring-target,ring_target,,4000,held-items,10,"Held
:   When one of the user’s types would render it immune to damage, that type is ignored for damage calculation.",Held: Negates the holder’s type immunities. Ability immunities are not removed.,images/items/ring_target.png,https://pokeapi.co/api/v2/item/586/
587,binding-band,binding_band,,4000,held-items,30,"Held
:   Moves used by the holder that trap and damage a target for multiple turns (e.g. bind, fire spin) inflict twice their usual per-turn damage.",Held: Doubles the per-turn damage of multi-turn trapping moves.,images/items/binding_band.png,https://pokeapi.co/api/v2/item/587/
588,absorb-bulb,absorb_bulb,,4000,held-items,30,"Held
:   When the holder takes water-type damage from a move, its Special Attack rises by one stage and this item is consumed.",Held: Raises the holder’s Special Attack by one stage when it takes Water-type damage.,images/items/absorb_bulb.png,https://pokeapi.co/api/v2/item/588/
589,cell-battery,cell_battery,,4000,held-items,30,"Held
:   When the holder takes electric-type damage from a move, its Attack rises by one stage and this item is consumed.",Held: Raises the holder’s Attack by one stage when it takes Electric-type damage.,images/items/cell_battery.png,https://pokeapi.co/api/v2/item/589/
590,eject-button,eject_button,,4000,held-items,30,"Held
:   When the holder takes damage directly from a move and does not faint, it switches out for another non-fainted Pokémon in its party, as chosen by the Trainer.
This effect does not activate if another effect prevents the holder from switching out.","Held: When the holder takes damage from a move, it switches out for a party Pokémon of the Trainer’s choice.",images/items/eject_button.png,https://pokeapi.co/api/v2/item/590/
591,fire-gem,fire_gem,,200,jewels,None,"Held
:   When the holder uses a damaging fire-type move, the move has 1.5× power and this item is consumed.","Held: When the holder uses a damaging fire-type move, the move has 1.5× power and this item is consumed.",images/items/fire_gem.png,https://pokeapi.co/api/v2/item/591/
592,water-gem,water_gem,,200,jewels,None,"Held
:   When the holder uses a damaging water-type move, the move has 1.5× power and this item is consumed.","Held: When the holder uses a damaging water-type move, the move has 1.5× power and this item is consumed.",images/items/water_gem.png,https://pokeapi.co/api/v2/item/592/
593,electric-gem,electric_gem,,200,jewels,None,"Held
:   When the holder uses a damaging electric-type move, the move has 1.5× power and this item is consumed.","Held: When the holder uses a damaging electric-type move, the move has 1.5× power and this item is consumed.",images/items/electric_gem.png,https://pokeapi.co/api/v2/item/593/
594,grass-gem,grass_gem,,200,jewels,None,"Held
:   When the holder uses a damaging grass-type move, the move has 1.5× power and this item is consumed.","Held: When the holder uses a damaging grass-type move, the move has 1.5× power and this item is consumed.",images/items/grass_gem.png,https://pokeapi.co/api/v2/item/594/
595,ice-gem,ice_gem,,200,jewels,None,"Held
:   When the holder uses a damaging ice-type move, the move has 1.5× power and this item is consumed.","Held: When the holder uses a damaging ice-type move, the move has 1.5× power and this item is consumed.",images/items/ice_gem.png,https://pokeapi.co/api/v2/item/595/
596,fighting-gem,fighting_gem,,200,jewels,None,"Held
:   When the holder uses a damaging fighting-type move, the move has 1.5× power and this item is consumed.","Held: When the holder uses a damaging fighting-type move, the move has 1.5× power and this item is consumed.",images/items/fighting_gem.png,https://pokeapi.co/api/v2/item/596/
597,poison-gem,poison_gem,,200,jewels,None,"Held
:   When the holder uses a damaging poison-type move, the move has 1.5× power and this item is consumed.","Held: When the holder uses a damaging poison-type move, the move has 1.5× power and this item is consumed.",images/items/poison_gem.png,https://pokeapi.co/api/v2/item/597/
598,ground-gem,ground_gem,,200,jewels,None,"Held
:   When the holder uses a damaging ground-type move, the move has 1.5× power and this item is consumed.","Held: When the holder uses a damaging ground-type move, the move has 1.5× power and this item is consumed.",images/items/ground_gem.png,https://pokeapi.co/api/v2/item/598/
599,flying-gem,flying_gem,,200,jewels,None,"Held
:   When the holder uses a damaging flying-type move, the move has 1.5× power and this item is consumed.","Held: When the holder uses a damaging flying-type move, the move has 1.5× power and this item is consumed.",images/items/flying_gem.png,https://pokeapi.co/api/v2/item/599/
600,psychic-gem,psychic_gem,,200,jewels,None,"Held
:   When the holder uses a damaging psychic-type move, the move has 1.5× power and this item is consumed.","Held: When the holder uses a damaging psychic-type move, the move has 1.5× power and this item is consumed.",images/items/psychic_gem.png,https://pokeapi.co/api/v2/item/600/
601,bug-gem,bug_gem,,200,jewels,None,"Held
:   When the holder uses a damaging bug-type move, the move has 1.5× power and this item is consumed.","Held: When the holder uses a damaging bug-type move, the move has 1.5× power and this item is consumed.",images/items/bug_gem.png,https://pokeapi.co/api/v2/item/601/
602,rock-gem,rock_gem,,200,jewels,None,"Held
:   When the holder uses a damaging rock-type move, the move has 1.5× power and this item is consumed.","Held: When the holder uses a damaging rock-type move, the move has 1.5× power and this item is consumed.",images/items/rock_gem.png,https://pokeapi.co/api/v2/item/602/
603,ghost-gem,ghost_gem,,200,jewels,None,"Held
:   When the holder uses a damaging ghost-type move, the move has 1.5× power and this item is consumed.","Held: When the holder uses a damaging ghost-type move, the move has 1.5× power and this item is consumed.",images/items/ghost_gem.png,https://pokeapi.co/api/v2/item/603/
604,dark-gem,dark_gem,,200,jewels,None,"Held
:   When the holder uses a damaging dark-type move, the move has 1.5× power and this item is consumed.","Held: When the holder uses a damaging dark-type move, the move has 1.5× power and this item is consumed.",images/items/dark_gem.png,https://pokeapi.co/api/v2/item/604/
605,steel-gem,steel_gem,,200,jewels,None,"Held
:   When the holder uses a damaging steel-type move, the move has 1.5× power and this item is consumed.","Held: When the holder uses a damaging steel-type move, the move has 1.5× power and this item is consumed.",images/items/steel_gem.png,https://pokeapi.co/api/v2/item/605/
606,health-wing,health_wing,,300,vitamins,20,"Used on a party Pokémon
:   Increases the target’s HP effort by 1.",Increases HP effort by 1.,images/items/health_wing.png,https://pokeapi.co/api/v2/item/606/
607,muscle-wing,muscle_wing,,300,vitamins,20,"Used on a party Pokémon
:   Increases the target’s Attack effort by 1.",Increases Attack effort by 1.,images/items/muscle_wing.png,https://pokeapi.co/api/v2/item/607/
608,resist-wing,resist_wing,,300,vitamins,20,"Used on a party Pokémon
:   Increases the target’s Defense effort by 1.",Increases Defense effort by 1.,images/items/resist_wing.png,https://pokeapi.co/api/v2/item/608/
609,genius-wing,genius_wing,,300,vitamins,20,"Used on a party Pokémon
:   Increases the target’s Special Attack effort by 1.",Increases Special Attack effort by 1.,images/items/genius_wing.png,https://pokeapi.co/api/v2/item/609/
610,clever-wing,clever_wing,,300,vitamins,20,"Used on a party Pokémon
:   Increases the target’s Special Defense effort by 1.",Increases Special Defense effort by 1.,images/items/clever_wing.png,https://pokeapi.co/api/v2/item/610/
611,swift-wing,swift_wing,,300,vitamins,20,"Used on a party Pokémon
:   Increases the target’s Speed effort by 1.",Increases Speed effort by 1.,images/items/swift_wing.png,https://pokeapi.co/api/v2/item/611/
612,pretty-wing,pretty_wing,,1000,loot,20,Vendor trash.,Sell for 100 Pokédollars.,images/items/pretty_wing.png,https://pokeapi.co/api/v2/item/612/
613,cover-fossil,cover_fossil,,7000,dex-completion,100,Give to a scientist in a museum to receive a tirtouga.,Can be revived into a tirtouga.,images/items/cover_fossil.png,https://pokeapi.co/api/v2/item/613/
614,plume-fossil,plume_fossil,,7000,dex-completion,100,Give to a scientist in a museum to receive an archen.,Can be revived into an archen.,images/items/plume_fossil.png,https://pokeapi.co/api/v2/item/614/
615,liberty-pass,liberty_pass,,0,event-items,None,"Allows passage on the castelia city ship, which leads to liberty garden and victini.",Allows access to Liberty Garden and Victini.,images/items/liberty_pass.png,https://pokeapi.co/api/v2/item/615/
616,pass-orb,pass_orb,,200,held-items,30,Acts as currency to activate Pass Powers in the Entralink.,Activates Pass Powers.,images/items/pass_orb.png,https://pokeapi.co/api/v2/item/616/
617,dream-ball,dream_ball,,0,special-balls,None,"Can only be used in Entree Forest, to catch Pokémon encountered in the Dream World.

Used in battle
:   Catches a wild Pokémon without fail.",Catches Pokémon found in the Dream World.,images/items/dream_ball.png,https://pokeapi.co/api/v2/item/617/
618,poke-toy,poke_toy,,100,spelunking,30,"Used in battle
:   Ends a wild battle.  Cannot be used in trainer battles.",Ends a wild battle.,images/items/poke_toy.png,https://pokeapi.co/api/v2/item/618/
619,prop-case,prop_case,,0,gameplay,None,Stores props for the Pokémon Musical.,Stores props for the Pokémon Musical.,images/items/prop_case.png,https://pokeapi.co/api/v2/item/619/
620,dragon-skull,dragon_skull,,0,plot-advancement,None,Only used as a plot point; this item is given to the player and taken away in the same cutscene.,Return to the museum in Nacrene City.,images/items/dragon_skull.png,https://pokeapi.co/api/v2/item/620/
621,balm-mushroom,balm_mushroom,,15000,loot,30,Cult vendor trash.,Sell to Hungry Maid for 25000 Pokédollars.,images/items/balm_mushroom.png,https://pokeapi.co/api/v2/item/621/
622,big-nugget,big_nugget,,40000,loot,130,Cult vendor trash.,Sell to Ore Collector for 30000 Pokédollars.,images/items/big_nugget.png,https://pokeapi.co/api/v2/item/622/
623,pearl-string,pearl_string,,20000,loot,30,Cult vendor trash.,Sell to Ore Collector for 25000 Pokédollars.,images/items/pearl_string.png,https://pokeapi.co/api/v2/item/623/
624,comet-shard,comet_shard,,25000,loot,30,Cult vendor trash.,Sell to Ore Collector for 60000 Pokédollars.,images/items/comet_shard.png,https://pokeapi.co/api/v2/item/624/
625,relic-copper,relic_copper,,0,loot,30,Cult vendor trash.,Sell to Villa Owner for 1000 Pokédollars.,images/items/relic_copper.png,https://pokeapi.co/api/v2/item/625/
626,relic-silver,relic_silver,,0,loot,30,Cult vendor trash.,Sell to Villa Owner 5000 Pokédollars.,images/items/relic_silver.png,https://pokeapi.co/api/v2/item/626/
627,relic-gold,relic_gold,,60000,loot,30,Cult vendor trash.,Sell to Villa Owner 10000 Pokédollars.,images/items/relic_gold.png,https://pokeapi.co/api/v2/item/627/
628,relic-vase,relic_vase,,0,loot,30,Cult vendor trash.,Sell to Villa Owner 50000 Pokédollars.,images/items/relic_vase.png,https://pokeapi.co/api/v2/item/628/
629,relic-band,relic_band,,0,loot,30,Cult vendor trash.,Sell to Villa Owner for 100000 Pokédollars.,images/items/relic_band.png,https://pokeapi.co/api/v2/item/629/
630,relic-statue,relic_statue,,0,loot,30,Cult vendor trash.,Sell to Villa Owner 200000 Pokédollars.,images/items/relic_statue.png,https://pokeapi.co/api/v2/item/630/
631,relic-crown,relic_crown,,0,loot,30,Cult vendor trash.,Sell to Villa Owner for 300000 Pokédollars.,images/items/relic_crown.png,https://pokeapi.co/api/v2/item/631/
632,casteliacone,casteliacone,,350,status-cures,30,"Used on a party Pokémon
:   Cures any status ailment and confusion.",Cures any status ailment and confusion.,images/items/casteliacone.png,https://pokeapi.co/api/v2/item/632/
633,dire-hit-2,dire_hit_2,,0,miracle-shooter,None,"Used on a party Pokémon in battle
:   Raises the target’s critical hit rate by two stages.
This item can only be obtained or used via the Wonder Launcher.",Raises critical hit rate by two stages in battle.  Wonder Launcher only.,images/items/dire_hit_2.png,https://pokeapi.co/api/v2/item/633/
634,x-speed-2,x_speed_2,,0,miracle-shooter,None,"Used on a party Pokémon in battle
:   Raises the target’s Speed by two stages.
This item can only be obtained or used via the Wonder Launcher.",Raises Speed by two stages in battle.  Wonder Launcher only.,images/items/x_speed_2.png,https://pokeapi.co/api/v2/item/634/
635,x-sp-atk-2,x_sp_atk_2,,0,miracle-shooter,None,"Used on a party Pokémon in battle
:   Raises the target’s Special Attack by two stages.
This item can only be obtained or used via the Wonder Launcher.",Raises Special Attack by two stages in battle.  Wonder Launcher only.,images/items/x_sp_atk_2.png,https://pokeapi.co/api/v2/item/635/
636,x-sp-def-2,x_sp_def_2,,0,miracle-shooter,None,"Used on a party Pokémon in battle
:   Raises the target’s Special Defense by two stages.
This item can only be obtained or used via the Wonder Launcher.",Raises Special Defense by two stages in battle.  Wonder Launcher only.,images/items/x_sp_def_2.png,https://pokeapi.co/api/v2/item/636/
637,x-defense-2,x_defense_2,,0,miracle-shooter,None,"Used on a party Pokémon in battle
:   Raises the target’s Defense by two stages.
This item can only be obtained or used via the Wonder Launcher.",Raises Defense by two stages in battle.  Wonder Launcher only.,images/items/x_defense_2.png,https://pokeapi.co/api/v2/item/637/
638,x-attack-2,x_attack_2,,0,miracle-shooter,None,"Used on a party Pokémon in battle
:   Raises the target’s Attack by two stages.
This item can only be obtained or used via the Wonder Launcher.",Raises Attack by two stages in battle.  Wonder Launcher only.,images/items/x_attack_2.png,https://pokeapi.co/api/v2/item/638/
639,x-accuracy-2,x_accuracy_2,,0,miracle-shooter,None,"Used on a party Pokémon in battle
:   Raises the target’s accuracy by two stages.
This item can only be obtained or used via the Wonder Launcher.",Raises accuracy by two stages in battle.  Wonder Launcher only.,images/items/x_accuracy_2.png,https://pokeapi.co/api/v2/item/639/
640,x-speed-3,x_speed_3,,0,miracle-shooter,None,"Used on a party Pokémon in battle
:   Raises the target’s Speed by three stages.
This item can only be obtained or used via the Wonder Launcher.",Raises Speed by three stages in battle.  Wonder Launcher only.,images/items/x_speed_3.png,https://pokeapi.co/api/v2/item/640/
641,x-sp-atk-3,x_sp_atk_3,,0,miracle-shooter,None,"Used on a party Pokémon in battle
:   Raises the target’s Special Attack by three stages.
This item can only be obtained or used via the Wonder Launcher.",Raises Special Attack by three stages in battle.  Wonder Launcher only.,images/items/x_sp_atk_3.png,https://pokeapi.co/api/v2/item/641/
642,x-sp-def-3,x_sp_def_3,,0,miracle-shooter,None,"Used on a party Pokémon in battle
:   Raises the target’s Special Defense by three stages.
This item can only be obtained or used via the Wonder Launcher.",Raises Special Defense by three stages in battle.  Wonder Launcher only.,images/items/x_sp_def_3.png,https://pokeapi.co/api/v2/item/642/
643,x-defense-3,x_defense_3,,0,miracle-shooter,None,"Used on a party Pokémon in battle
:   Raises the target’s Defense by three stages.
This item can only be obtained or used via the Wonder Launcher.",Raises Defense by three stages in battle.  Wonder Launcher only.,images/items/x_defense_3.png,https://pokeapi.co/api/v2/item/643/
644,x-attack-3,x_attack_3,,0,miracle-shooter,None,"Used on a party Pokémon in battle
:   Raises the target’s Attack by three stages.
This item can only be obtained or used via the Wonder Launcher.",Raises Attack by three stages in battle.  Wonder Launcher only.,images/items/x_attack_3.png,https://pokeapi.co/api/v2/item/644/
645,x-accuracy-3,x_accuracy_3,,0,miracle-shooter,None,"Used on a party Pokémon in battle
:   Raises the target’s accuracy by three stages.
This item can only be obtained or used via the Wonder Launcher.",Raises accuracy by three stages in battle.  Wonder Launcher only.,images/items/x_accuracy_3.png,https://pokeapi.co/api/v2/item/645/
646,x-speed-6,x_speed_6,,0,miracle-shooter,None,"Used on a party Pokémon in battle
:   Raises the target’s Speed by six stages.
This item can only be obtained or used via the Wonder Launcher.",Raises Speed by six stages in battle.  Wonder Launcher only.,images/items/x_speed_6.png,https://pokeapi.co/api/v2/item/646/
647,x-sp-atk-6,x_sp_atk_6,,0,miracle-shooter,None,"Used on a party Pokémon in battle
:   Raises the target’s Special Attack by six stages.
This item can only be obtained or used via the Wonder Launcher.",Raises Special Attack by six stages in battle.  Wonder Launcher only.,images/items/x_sp_atk_6.png,https://pokeapi.co/api/v2/item/647/
648,x-sp-def-6,x_sp_def_6,,0,miracle-shooter,None,"Used on a party Pokémon in battle
:   Raises the target’s Special Defense by six stages.
This item can only be obtained or used via the Wonder Launcher.",Raises Special Defense by six stages in battle.  Wonder Launcher only.,images/items/x_sp_def_6.png,https://pokeapi.co/api/v2/item/648/
649,x-defense-6,x_defense_6,,0,miracle-shooter,None,"Used on a party Pokémon in battle
:   Raises the target’s Defense by six stages.
This item can only be obtained or used via the Wonder Launcher.",Raises Defense by six stages in battle.  Wonder Launcher only.,images/items/x_defense_6.png,https://pokeapi.co/api/v2/item/649/
650,x-attack-6,x_attack_6,,0,miracle-shooter,None,"Used on a party Pokémon in battle
:   Raises the target’s Attack by six stages.

This item can only be obtained or used via the Wonder Launcher.",Raises Attack by six stages in battle.  Wonder Launcher only.,images/items/x_attack_6.png,https://pokeapi.co/api/v2/item/650/
651,x-accuracy-6,x_accuracy_6,,0,miracle-shooter,None,"Used on a party Pokémon in battle
:   Raises the target’s accuracy by six stages.

This item can only be obtained or used via the Wonder Launcher.",Raises accuracy by six stages in battle.  Wonder Launcher only.,images/items/x_accuracy_6.png,https://pokeapi.co/api/v2/item/651/
652,ability-urge,ability_urge,,0,miracle-shooter,None,"Used on a party Pokémon in battle
:   Selects another friendly Pokémon at random.  If that Pokémon’s ability is normally activated by some condition—i.e., is not continuous and passive—its effect is forcibly activated.

This item can only be obtained or used via the Wonder Launcher.",Forcibly activates a friendly Pokémon’s ability.,images/items/ability_urge.png,https://pokeapi.co/api/v2/item/652/
653,item-drop,item_drop,,0,miracle-shooter,None,"Used on a party Pokémon in battle
:   Selects another friendly Pokémon at random.  If that Pokémon is holding an item, that item is removed for the duration of the battle.

This item can only be obtained or used via the Wonder Launcher.",Forces a friendly Pokémon to drop its held item.,images/items/item_drop.png,https://pokeapi.co/api/v2/item/653/
